panel_id,image_name,max_temperature,avg_temperature,thermal_gradient,hotspot_intensity,pixel_variance,stat_result,km_result,iso_result,svm_result,votes_out_of_4,consensus,severity,predicted_severity,confidence_%
Timage47,Timage47.png,251.0,117.6314697265625,40.51691730236385,241.82128159905935,3165.1809,Normal,Normal,Normal,Normal,0,Normal,Warning,Warning,96.4
Timage48,Timage48.png,234.0,99.33241271972656,34.67752811659486,223.01767825574544,2736.5291,Normal,Normal,Normal,Normal,0,Normal,Warning,Warning,95.7
Timage49,Timage49.png,254.0,149.07354736328125,27.897073028826423,221.10850616170725,3126.8989,Anomalous,Normal,Normal,Normal,1,Normal,Warning,Warning,97.8
Timage5,Timage5.png,251.0,139.3351287841797,32.95850532703617,239.2955917874396,3213.0721,Normal,Normal,Normal,Normal,0,Normal,Warning,Warning,99.4
Timage50,Timage50.png,250.0,128.53677368164062,30.66808623812969,207.25360400117685,3667.9545,Anomalous,Normal,Normal,Normal,1,Normal,Warning,Warning,97.7
Timage51,Timage51.png,253.0,145.02159118652344,27.519625532277395,217.824312065316,3405.0442,Normal,Normal,Normal,Normal,0,Normal,Warning,Warning,98.9
Timage52,Timage52.png,253.0,135.83084106445312,67.4867780919885,231.2821363910682,3230.8233,Anomalous,Anomalous,Anomalous,Anomalous,4,Anomalous,Warning,Warning,96.4
Timage53,Timage53.png,236.0,119.07794189453124,63.92946508501343,214.588360109124,2907.2939,Anomalous,Anomalous,Anomalous,Anomalous,4,Anomalous,Normal,Normal,82.5
Timage54,Timage54.png,255.0,152.2103271484375,64.9810452094594,240.8561194029851,3325.2754,Anomalous,Anomalous,Anomalous,Anomalous,4,Anomalous,Warning,Warning,95.2
Timage55,Timage55.png,251.0,119.88533020019533,17.48564059203402,199.46748210023867,2439.1453,Normal,Anomalous,Normal,Anomalous,2,Anomalous,Warning,Warning,69.0
Timage56,Timage56.png,234.0,56.77033996582031,22.35091775605434,170.80231848688226,1253.316,Anomalous,Normal,Anomalous,Normal,2,Anomalous,Normal,Normal,88.1
Timage57,Timage57.png,242.0,61.3214111328125,22.60560787247721,179.7383877734492,1323.2815,Anomalous,Normal,Normal,Normal,1,Normal,Warning,Warning,80.8
Timage58,Timage58.png,233.0,55.465240478515625,22.056457536580364,167.76201923076923,1224.355,Anomalous,Normal,Anomalous,Anomalous,3,Anomalous,Normal,Normal,90.0
Timage59,Timage59.png,233.0,109.76332092285156,39.55520238020779,192.70374479889043,4282.3303,Anomalous,Anomalous,Anomalous,Anomalous,4,Anomalous,Normal,Normal,91.0
Timage6,Timage6.png,248.0,135.10379028320312,31.693481565457702,233.92261367058117,3239.104,Normal,Normal,Normal,Normal,0,Normal,Warning,Warning,98.7
Timage60,Timage60.png,249.0,140.4150848388672,24.54937303464846,210.58426966292132,2704.7018,Normal,Normal,Normal,Normal,0,Normal,Warning,Warning,94.8
Timage61,Timage61.png,251.0,156.75782775878906,20.80608572316992,220.2444253859348,3042.3654,Anomalous,Anomalous,Normal,Anomalous,3,Anomalous,Warning,Warning,98.6
Timage62,Timage62.png,246.0,142.33839416503906,24.055994211546675,208.01183081928423,2888.3955,Normal,Normal,Normal,Normal,0,Normal,Warning,Warning,92.3
Timage63,Timage63.png,254.0,131.7984619140625,33.21842424819305,236.86589454434625,2639.6734,Normal,Normal,Normal,Normal,0,Normal,Warning,Warning,98.6
Timage64,Timage64.png,252.0,124.32203674316406,35.47554331621422,231.1281512605042,2436.7678,Normal,Normal,Normal,Normal,0,Normal,Warning,Warning,90.8
Timage65,Timage65.png,251.0,126.71435546875,34.694361971915484,232.5712130356065,2934.367,Normal,Normal,Normal,Normal,0,Normal,Warning,Warning,99.5
Timage66,Timage66.png,203.0,102.58029174804688,61.09076058724735,195.91671606401897,3113.3474,Anomalous,Anomalous,Anomalous,Anomalous,4,Anomalous,Normal,Normal,97.5
Timage67,Timage67.png,227.0,133.3223419189453,63.229275195904094,222.3808390360012,3167.0663,Anomalous,Anomalous,Anomalous,Anomalous,4,Anomalous,Warning,Warning,90.8
Timage68,Timage68.png,219.0,118.48806762695312,66.0795058316961,214.71432800473653,3353.6298,Anomalous,Anomalous,Anomalous,Anomalous,4,Anomalous,Normal,Normal,89.5
Timage69,Timage69.png,245.0,129.01466369628906,31.706736482172644,202.46253602305475,3557.9575,Normal,Normal,Normal,Normal,0,Normal,Warning,Warning,89.9
Timage7,Timage7.png,218.0,96.10197448730467,20.2037580153262,200.2984756097561,2627.0425,Normal,Anomalous,Normal,Normal,1,Normal,Normal,Normal,93.5
Timage70,Timage70.png,247.0,133.46124267578125,32.5061759854269,217.14298642533936,3665.2259,Anomalous,Normal,Normal,Normal,1,Normal,Warning,Warning,98.5
Timage71,Timage71.png,252.0,150.247314453125,29.924209006165142,221.45194805194805,3423.2572,Anomalous,Normal,Normal,Normal,1,Normal,Warning,Warning,99.4
Timage72,Timage72.png,221.0,164.57928466796875,50.13787880079423,214.26840168243956,2495.9032,Anomalous,Anomalous,Anomalous,Anomalous,4,Anomalous,Normal,Normal,95.3
Timage73,Timage73.png,239.0,152.61703491210938,41.48812039583445,215.134927412468,2746.5566,Anomalous,Normal,Anomalous,Normal,2,Anomalous,Warning,Warning,72.6
Timage74,Timage74.png,232.0,131.4849090576172,49.19279445696645,198.14200298953665,2713.6175,Anomalous,Anomalous,Anomalous,Normal,3,Anomalous,Normal,Normal,94.0
Timage75,Timage75.png,207.0,109.23548889160156,42.917015590009626,174.3855386416862,2162.9156,Anomalous,Anomalous,Anomalous,Anomalous,4,Anomalous,Normal,Normal,100.0
Timage76,Timage76.png,252.0,102.16871643066406,20.210473442207984,235.87636363636364,2340.5981,Normal,Normal,Normal,Normal,0,Normal,Warning,Warning,94.3
Timage77,Timage77.png,252.0,102.4929656982422,20.73710405593909,235.25152253349572,2445.3115,Normal,Normal,Normal,Normal,0,Normal,Warning,Warning,95.4
Timage78,Timage78.png,231.0,88.04867553710938,19.03037208436731,213.43794964028777,2001.5607,Normal,Normal,Normal,Normal,0,Normal,Normal,Normal,71.0
Timage79,Timage79.png,222.0,125.2200927734375,36.81222947036771,183.81843732433956,2245.9778,Normal,Anomalous,Anomalous,Anomalous,3,Anomalous,Normal,Normal,96.4
Timage8,Timage8.png,213.0,94.82771301269533,21.07963994440673,196.57874134296895,2755.2145,Anomalous,Anomalous,Normal,Normal,2,Anomalous,Normal,Normal,99.4
Timage80,Timage80.png,255.0,92.77157592773438,20.753015260844325,237.19525547445252,1049.0626,Normal,Normal,Normal,Normal,0,Normal,Warning,Warning,71.7
Timage81,Timage81.png,254.0,97.55038452148438,19.8716831408723,239.1154427319432,1104.5903,Normal,Normal,Normal,Anomalous,1,Normal,Warning,Warning,77.0
Timage82,Timage82.png,252.0,68.62547302246094,21.45912899513133,229.58507101843455,1176.6849,Normal,Normal,Normal,Normal,0,Normal,Warning,Warning,86.8
Timage83,Timage83.png,242.0,59.92083740234375,20.819254930167386,181.6123002713295,1467.0464,Normal,Normal,Normal,Normal,0,Normal,Warning,Warning,75.4
Timage84,Timage84.png,254.0,89.97671508789062,25.18080461236352,248.0865853658537,2253.7597,Normal,Normal,Normal,Normal,0,Normal,Critical,Critical,81.7
Timage85,Timage85.png,251.0,68.83735656738281,23.37820535002842,179.9265243902439,1083.2448,Anomalous,Anomalous,Normal,Anomalous,3,Anomalous,Warning,Warning,86.8
Timage9,Timage9.png,214.0,88.79299926757812,19.49102556639337,193.7780487804878,2762.438,Anomalous,Anomalous,Anomalous,Anomalous,4,Anomalous,Normal,Normal,97.3
